##########################
C: 0.3 | tow: 0.1
None ) MCTS conf: 0.33 , det: 0.84 | LTL [+++]  LDBA [ 0.01 ] path: [0, 1, 1, 2, 2, 3, 2, 3, 4, 9, 9, 14, 19, 24, 23, 22, 23, 24, 19, 14, 13, 12, 11, 10, 15, 15]
None ) MCTS conf: -0.1 , det: 0.74 | LTL [+++]  LDBA [ 0.01 ] path: [23, 23, 23, 24, 19, 14, 9, 4, 3, 2, 2, 3, 4, 9, 14, 19, 24, 23, 22, 23, 24, 19, 19, 14, 13, 12, 11, 10, 15, 15]
None ) MCTS conf: 0.33 , det: 0.96 | LTL [+++]  LDBA [ 0.01 ] path: [4, 3, 2, 2, 3, 4, 9, 14, 19, 24, 23, 22, 23, 24, 19, 14, 13, 12, 11, 10, 15, 15]
None ) MCTS conf: 0.23 , det: 0.95 | LTL [+++]  LDBA [ 0.01 ] path: [1, 2, 2, 3, 4, 9, 14, 19, 24, 23, 22, 23, 24, 19, 14, 13, 13, 12, 11, 10, 15, 15]
None ) MCTS conf: 0.27 , det: 0.98 | LTL [---]  LDBA [ 0.0 ] path: [14, 9, 9, 4, 9, 4, 3, 2, 2, 2, 3, 4, 9, 14, 19, 24, 23, 22, 23, 24, 19, 14, 13, 13, 12, 7]
None ) MCTS conf: 0.33 , det: 0.98 | LTL [+++]  LDBA [ 0.01 ] path: [9, 4, 3, 2, 2, 3, 3, 4, 9, 14, 13, 14, 19, 19, 24, 23, 22, 23, 24, 19, 14, 13, 12, 11, 10, 15, 15]
None ) MCTS conf: 0.29 , det: 0.98 | LTL [+++]  LDBA [ 0.01 ] path: [9, 9, 4, 3, 2, 2, 3, 4, 9, 14, 19, 24, 23, 22, 23, 24, 19, 14, 13, 12, 11, 10, 15, 15]
None ) MCTS conf: 0.31 , det: 0.95 | LTL [+++]  LDBA [ 0.01 ] path: [24, 19, 14, 9, 4, 3, 3, 3, 2, 2, 3, 3, 4, 9, 14, 19, 24, 23, 22, 23, 24, 19, 14, 13, 12, 11, 10, 15, 15]
None ) MCTS conf: 0.23 , det: 0.99 | LTL [+++]  LDBA [ 0.01 ] path: [9, 4, 3, 3, 2, 2, 2, 3, 4, 9, 14, 19, 24, 23, 22, 23, 24, 19, 14, 13, 12, 11, 11, 10, 15, 15]
None ) MCTS conf: 0.35 , det: 0.72 | LTL [---]  LDBA [ 0.0 ] path: [5, 0, 0, 1, 2, 2, 3, 4, 9, 14, 14, 14, 19, 24, 23, 22, 23, 24, 19, 14, 13, 18]
