##########################
C: 0.3 | tow: 0.1
84 ) MCTS conf: 0.03 , det: 1.0 | LTL [+++]  LDBA [ 0.01 ] path: [12, 13, 14, 9, 4, 3, 2, 2, 3, 4, 9, 14, 14, 19, 24, 23, 22, 23, 24, 19, 14, 13, 12, 11, 10, 11, 10, 15, 15]
85 ) MCTS conf: 0.34 , det: 1.0 | LTL [---]  LDBA [ 0.0 ] path: [9, 4, 3, 2, 2, 7]
86 ) MCTS conf: 0.2 , det: 1.0 | LTL [+++]  LDBA [ 0.01 ] path: [14, 9, 4, 9, 4, 3, 2, 2, 3, 4, 9, 14, 19, 24, 23, 23, 22, 23, 24, 19, 14, 13, 12, 11, 10, 15, 15]
87 ) MCTS conf: 0.46 , det: 1.0 | LTL [+++]  LDBA [ 0.01 ] path: [10, 5, 0, 1, 2, 2, 3, 4, 9, 14, 19, 19, 24, 23, 22, 23, 24, 19, 14, 13, 12, 11, 10, 15, 15]
88 ) MCTS conf: -0.47 , det: 0.87 | LTL [---]  LDBA [ 0.0 ] path: [23, 22, 23, 23, 22, 17]
89 ) MCTS conf: 0.45 , det: 1.0 | LTL [+++]  LDBA [ 0.01 ] path: [14, 9, 4, 3, 3, 2, 2, 3, 3, 4, 9, 14, 14, 19, 24, 23, 22, 23, 24, 19, 14, 13, 12, 11, 10, 15, 15]
90 ) MCTS conf: 0.37 , det: 1.0 | LTL [---]  LDBA [ 0.0 ] path: [0, 1, 2, 2, 7]
91 ) MCTS conf: 0.29 , det: 1.0 | LTL [---]  LDBA [ 0.0 ] path: [4, 3, 2, 2, 3, 4, 9, 14, 19, 24, 23, 22, 23, 24, 19, 14, 13, 12, 11, 16]
92 ) MCTS conf: 0.35 , det: 1.0 | LTL [---]  LDBA [ 0.0 ] path: [4, 3, 2, 2, 3, 4, 9, 14, 19, 24, 23, 22, 17]
93 ) MCTS conf: 0.25 , det: 1.0 | LTL [---]  LDBA [ 0.0 ] path: [5, 0, 1, 2, 2, 3, 4, 9, 14, 19, 24, 23, 22, 17]
94 ) MCTS conf: 0.34 , det: 1.0 | LTL [---]  LDBA [ 0.0 ] path: [14, 9, 4, 3, 3, 2, 2, 3, 4, 9, 14, 19, 24, 23, 22, 23, 24, 24, 19, 14, 13, 12, 17]
95 ) MCTS conf: 0.25 , det: 1.0 | LTL [---]  LDBA [ 0.0 ] path: [19, 14, 9, 4, 3, 2, 3, 4, 9, 14, 19, 24, 23, 22, 23, 24, 19, 14, 13, 12, 17]
96 ) MCTS conf: 0.45 , det: 1.0 | LTL [+++]  LDBA [ 0.01 ] path: [9, 4, 3, 2, 2, 3, 4, 9, 14, 19, 24, 23, 22, 23, 24, 19, 14, 13, 12, 11, 10, 15, 15]
97 ) MCTS conf: 0.31 , det: 1.0 | LTL [---]  LDBA [ 0.0 ] path: [14, 9, 4, 3, 2, 2, 3, 4, 9, 14, 19, 24, 23, 22, 23, 24, 19, 14, 13, 18]
98 ) MCTS conf: 0.28 , det: 1.0 | LTL [---]  LDBA [ 0.0 ] path: [0, 1, 2, 1, 2, 3, 4, 9, 14, 19, 24, 23, 18]
99 ) MCTS conf: 0.47 , det: 1.0 | LTL [+++]  LDBA [ 0.01 ] path: [14, 13, 14, 9, 4, 3, 2, 2, 3, 4, 9, 14, 19, 24, 24, 23, 22, 23, 24, 19, 14, 9, 14, 13, 12, 11, 10, 15, 15]
Train wins: 44 / 100
None ) MCTS conf: -0.32 , det: 0.96 | LTL [+++]  LDBA [ 0.01 ] path: [12, 13, 14, 9, 4, 3, 2, 2, 2, 3, 4, 9, 14, 13, 14, 19, 24, 23, 22, 23, 24, 19, 14, 13, 12, 11, 10, 15, 15]
None ) MCTS conf: 0.51 , det: 0.9 | LTL [+++]  LDBA [ 0.01 ] path: [4, 3, 2, 2, 3, 4, 9, 14, 19, 24, 23, 23, 22, 23, 24, 19, 14, 13, 12, 11, 10, 15, 15]
None ) MCTS conf: 0.37 , det: 0.89 | LTL [+++]  LDBA [ 0.01 ] path: [1, 2, 2, 3, 4, 9, 14, 19, 24, 23, 22, 23, 24, 19, 14, 13, 12, 11, 10, 15, 15]
None ) MCTS conf: 0.31 , det: 0.94 | LTL [+++]  LDBA [ 0.01 ] path: [5, 0, 1, 2, 2, 3, 4, 9, 14, 19, 24, 23, 23, 22, 23, 24, 19, 14, 13, 12, 11, 10, 15, 15]
None ) MCTS conf: 0.16 , det: 0.91 | LTL [---]  LDBA [ 0.0 ] path: [4, 3, 2, 2, 3, 4, 9, 14, 14, 13, 13, 12, 7]
None ) MCTS conf: 0.31 , det: 0.97 | LTL [+++]  LDBA [ 0.01 ] path: [0, 1, 2, 2, 3, 4, 9, 14, 14, 19, 24, 23, 22, 23, 24, 19, 14, 13, 12, 11, 10, 15, 15]
None ) MCTS conf: 0.33 , det: 0.98 | LTL [+++]  LDBA [ 0.01 ] path: [0, 1, 2, 2, 3, 3, 4, 9, 14, 19, 24, 23, 22, 23, 24, 19, 14, 13, 12, 11, 10, 15, 15]
None ) MCTS conf: 0.28 , det: 0.71 | LTL [---]  LDBA [ 0.0 ] path: [19, 14, 9, 4, 3, 3, 3, 3, 2, 2, 3, 4, 9, 14, 19, 24, 23, 23, 22, 17]
None ) MCTS conf: 0.37 , det: 0.96 | LTL [+++]  LDBA [ 0.01 ] path: [9, 4, 4, 3, 2, 2, 3, 4, 9, 14, 19, 24, 23, 23, 23, 22, 22, 23, 24, 19, 14, 13, 12, 11, 11, 10, 15, 15]
None ) MCTS conf: 0.28 , det: 0.96 | LTL [+++]  LDBA [ 0.01 ] path: [4, 3, 2, 2, 3, 3, 3, 4, 9, 9, 14, 19, 24, 23, 22, 23, 24, 19, 14, 13, 12, 11, 10, 15, 15]
None ) MCTS conf: 0.37 , det: 0.97 | LTL [+++]  LDBA [ 0.01 ] path: [5, 0, 1, 2, 2, 3, 4, 3, 4, 9, 14, 13, 14, 19, 24, 23, 22, 23, 24, 23, 24, 19, 14, 13, 12, 11, 10, 15, 15]
None ) MCTS conf: -0.02 , det: 0.97 | LTL [+++]  LDBA [ 0.01 ] path: [12, 13, 13, 14, 9, 4, 3, 2, 2, 3, 4, 9, 14, 19, 24, 23, 22, 23, 24, 19, 14, 19, 19, 14, 13, 12, 11, 10, 15, 15]
None ) MCTS conf: 0.45 , det: 0.97 | LTL [+++]  LDBA [ 0.01 ] path: [4, 3, 3, 2, 2, 3, 4, 9, 14, 19, 24, 23, 22, 23, 24, 23, 24, 19, 14, 13, 12, 11, 10, 15, 15]
